1,Baolilai,Food,4.8,25,Japanese Chicken Curry Rice,10:30-20:30,001,"[""Healthy"", ""Global Cuisine"", ""Good Environment""]"
2,Luckin Coffee,Beverage,4.9,15,Coconut Milk Latte,07:00-22:00,002,"[""High quality"", ""Coffee"", ""Grab and go""]"
3,Yang jie grill chicken rice,Food,4.5,20,Grill Chicken Rice,"10:30-14:30,16:00-20:30",003,"[""Halal"", ""Grill chicken"", ""Non spicy""]"
4,Mixue,Beverage,5,7,Lemon juice,09:00-22:30,004,"[""Cheap"", ""Grab and go"", ""Fast Serving Time""]"
5,Mido Fried Chicken,Food,4.1,28,Cheese Fried Chicken,09:00-01:00,005,"[""Fried Chicken"", ""Korean Cuisine"", ""Late Closing Time""]"
6,Meiqike,Food,4.8,17,Chicken Burger,09:30-00:30,006,"[""Fast Food"", ""Cheap"", ""Late Closing Time""]"
7,Manner Coffee,Beverage,4.9,20,Rose Latte,07:00-21:30,007,"[""Coffee"", ""High Quality"", ""Good Environment""]"
8,McDonald,Food,5,25,Big Mac,07:00-23:00,008,"[""Fast Food"", ""Fried Chicken"", ""Local Favourite""]"
9,Dominos Pizza,Food,4.7,45,Aloha Chicken Pizza,10:00-22:00,009,"[""Pizza"", ""Italian Cuisine"", ""Newly Opened""]"
10,Goodme,Beverage,4.2,15,Brown Sugar Pearl Milk Tea,08:00-23:30,010,"[""Milk Tea"", ""Fast Serving Time"", ""Grab and go""]"
11,CaiMingWei,Food,5,14,Hot Dry Noodle,07:00-19:00,011,"[""Cheap"", ""Chinese Cuisine"", ""Local Favourite""]"
12,Mint Light Food,Food,4.3,21,Caesar Chicken Salad,09:30-19:00,012,"[""Healthy"", ""Halal"", ""Non Spicy""]"
13,ChaGee,Beverage,4.5,17,Buo Ya Zue Xuan,09:00-22:00,013,"[""Milk Tea"", ""Local Favourite"", ""Fast Serving Time""]"
14,Kiosk,Food,3.9,30,Chicken Kebab,10:00-21:00,014,"[""Halal"", ""Arab Cuisine"", ""Grill Chicken""]"
15,Gui Lin Noodle,Food,4.8,20,Beef Slice Guilin Noodle,08:00-22:00,015,"[""Chinese Cuisine"", ""Good Environment"", ""Newly Opened""]"
