002,"No.3,XingHu Road",Xin Bu,14.0599,108.278,"",""
007,"No.06-01,LuoNan Road",Xin Bu,14.0609,108.279,"",""
013,"No.11-09,LuoNan Road",Xin Bu,14.0616,108.28,"",""
001,"No.07,LuoJiaShan Road",Mei Yuan,14.0637,108.281,"",""
010,"No.06-2014,Bayi Road",Mei Yuan,14.064,108.283,"",""
011,"No.01-03,LuoNan Road",Gong Xue Bu,14.0668,108.284,"",""
014,"No.113,GuangDuDun Road",Gong Xue Bu,14.0664,108.287,"",""
004,"No.1-2010,FengYuan Road",Feng Yuan,14.0699,108.287,"",""
006,"No.1-2018,FengYuan Road",Feng Yuan,14.0676,108.291,"",""
008,"No.299,Bayi Road",Feng Yuan,14.0704,108.29,"",""
009,"No.300,Bayi Road",Feng Yuan,14.0673,108.293,"",""
003,"No.81,LuoNan Road",Dong Hu,14.0704,108.292,"",""
005,"No.107,HongShan Road",Dong Hu,14.0742,108.291,"",""
012,"No.12-01,LuoNan Road",Dong Hu,14.0764,108.29,"",""
015,"No.25,HongShan Road",Dong Hu,14.0695,108.297,"",""
